    PUPGUC,       Fe2, 2,        S1, 2.433, 0.435
    PUPGUC,       Fe3, 2,        S3, 2.354, 0.539
    PUPGUC,       Fe3, 2,        N3, 1.900, 0.702
    PUPGUC,       Fe3, 2,        S4, 2.364, 0.524
    IXAQII,       Fe1, 2,        N1, 2.116, 0.391
    IXAQII,       Fe1, 2,        N2, 2.257, 0.267
    IXAQII,       Fe1, 2,       O1J, 1.947, 0.513
    IXAQII,       Fe1, 2,        O1, 1.947, 0.513
    IXAQII,       Fe1, 2,       N2J, 2.257, 0.267
    GALTOD,       Fe2, 2,        O6, 2.156, 0.292
    GALTOD,       Fe2, 2,        N1, 2.123, 0.384
    GALTOD,       Fe2, 2,        O5, 2.159, 0.289
    GALTOD,       Fe2, 2,        N3, 2.106, 0.402
    GALTOD,       Fe2, 2,        O2, 2.152, 0.295
    GALTOD,       Fe2, 2,        O1, 2.145, 0.300
    UJILAB,       Fe1, 2,       N12, 2.092, 0.418
    UJILAB,       Fe1, 2,       N10, 2.104, 0.404
    UJILAB,       Fe1, 2,        N8, 2.195, 0.316
    UJILAB,       Fe1, 2,        O6, 2.251, 0.226
    UJILAB,       Fe1, 2,        O5, 2.183, 0.271
    UJILAB,       Fe1, 2,        O4, 2.169, 0.282
    OJIVUY,       Fe1, 2,       N3A, 2.113, 0.395
    OJIVUY,       Fe1, 2,       N1A, 2.211, 0.303
    OJIVUY,       Fe1, 2,       N4A, 2.204, 0.309
    OJIVUY,       Fe1, 2,        N1, 2.211, 0.303
    OJIVUY,       Fe1, 2,        N3, 2.113, 0.395
    OJIVUY,       Fe1, 2,        N4, 2.204, 0.309
  UFAQUN02,       Fe1, 2,        O3, 2.187, 0.268
  UFAQUN02,       Fe1, 2,       O2*, 2.256, 0.223
  UFAQUN02,       Fe1, 2,       O2B, 2.073, 0.365
  UFAQUN02,       Fe1, 2,       O2C, 2.256, 0.223
  UFAQUN02,       Fe1, 2,        O1, 2.103, 0.336
  UFAQUN02,       Fe1, 2,       O2A, 2.073, 0.365
    RAPXAH,       Fe3, 2,        S3, 2.274, 0.669
    RAPXAH,       Fe3, 2,        S2, 2.360, 0.530
    RAPXAH,       Fe3, 2,        P1, 2.398, 0.708
    RAPXAH,       Fe3, 2,        S4, 2.267, 0.681
    HOBPIY,       Fe1, 2,        N1, 2.240, 0.280
    HOBPIY,       Fe1, 2,        N2, 2.097, 0.412
    HOBPIY,       Fe1, 2,        N3, 2.226, 0.291
    HOBPIY,       Fe1, 2,       Br2, 2.424, 0.642
    HOBPIY,       Fe1, 2,       Br1, 2.479, 0.553
    QUTDAL,       Fe1, 2,       O1A, 2.141, 0.304
    QUTDAL,       Fe1, 2,        O6, 2.138, 0.306
    QUTDAL,       Fe1, 2,        N1, 2.171, 0.337
    QUTDAL,       Fe1, 2,        O5, 2.107, 0.333
    QUTDAL,       Fe1, 2,       O2B, 2.094, 0.345
    QUTDAL,       Fe1, 2,        N2, 2.165, 0.343
    DOWFAW,       Fe1, 2,        S3, 2.568, 0.302
    DOWFAW,       Fe1, 2,        S2, 2.568, 0.302
    DOWFAW,       Fe1, 2,        S1, 2.589, 0.285
    DOWFAW,       Fe1, 2,        N1, 2.139, 0.368
    DOWFAW,       Fe1, 2,        N2, 2.141, 0.366
    DOWFAW,       Fe1, 2,        N3, 2.173, 0.336
    NASWAH,       Fe1, 2,        N8, 2.200, 0.312
    NASWAH,       Fe1, 2,        N9, 2.117, 0.390
    NASWAH,       Fe1, 2,       N8A, 2.200, 0.312
    NASWAH,       Fe1, 2,       N6A, 2.207, 0.306
    NASWAH,       Fe1, 2,       N9A, 2.117, 0.390
    NASWAH,       Fe1, 2,        N6, 2.207, 0.306
    QETJAB,       Fe1, 2,        N1, 2.247, 0.275
    QETJAB,       Fe1, 2,        N2, 2.245, 0.276
    QETJAB,       Fe1, 2,        N3, 2.154, 0.353
    QETJAB,       Fe1, 2,        N4, 2.194, 0.317
    QETJAB,       Fe1, 2,        N5, 2.092, 0.418
    QETJAB,       Fe1, 2,        N6, 2.199, 0.313
    JAHTES,       Fe1, 2,       Cl1, 2.509, 0.297
    JAHTES,       Fe1, 2,        N1, 2.169, 0.339
    JAHTES,       Fe1, 2,      Cl1D, 2.546, 0.269
    JAHTES,       Fe1, 2,        N3, 2.335, 0.217
    JAHTES,       Fe1, 2,        N2, 2.218, 0.297
    JAHTES,       Fe1, 2,       Cl2, 2.310, 0.509
    HAXCUG,       Fe1, 2,       O6A, 2.158, 0.290
    HAXCUG,       Fe1, 2,       N1A, 2.160, 0.348
    HAXCUG,       Fe1, 2,       O1A, 2.099, 0.340
    HAXCUG,       Fe1, 2,        O6, 2.158, 0.290
    HAXCUG,       Fe1, 2,        N1, 2.160, 0.348
    HAXCUG,       Fe1, 2,        O1, 2.099, 0.340
    NOKFOJ,       Fe1, 2,        N1, 2.164, 0.344
    NOKFOJ,       Fe1, 2,        N2, 2.164, 0.344
    NOKFOJ,       Fe1, 2,        N3, 2.232, 0.286
    NOKFOJ,       Fe1, 2,        N4, 2.264, 0.262
    NOKFOJ,       Fe1, 2,        N5, 2.310, 0.232
    NOKFOJ,       Fe1, 2,        N6, 2.164, 0.344
    NEMDIS,       Fe5, 2,       Br4, 2.471, 0.565
    NEMDIS,       Fe5, 2,       Br3, 2.469, 0.568
    NEMDIS,       Fe5, 2,       Br2, 2.447, 0.603
    NEMDIS,       Fe5, 2,       Br1, 2.450, 0.598
    OVEPAH,       Fe1, 2,       N3A, 2.130, 0.377
    OVEPAH,       Fe1, 2,       N1A, 2.148, 0.359
    OVEPAH,       Fe1, 2,        N1, 2.148, 0.359
    OVEPAH,       Fe1, 2,        N3, 2.130, 0.377
    OVEPAH,       Fe1, 2,        N5, 2.203, 0.309
    OVEPAH,       Fe1, 2,       N5A, 2.203, 0.309
    NUTCUB,       Fe1, 2,        N8, 2.107, 0.401
    NUTCUB,       Fe1, 2,        N9, 2.095, 0.414
    NUTCUB,       Fe1, 2,       N4A, 2.200, 0.312
    NUTCUB,       Fe1, 2,        N1, 2.211, 0.303
    NUTCUB,       Fe1, 2,        N3, 2.222, 0.294
    NUTCUB,       Fe1, 2,       N5A, 2.212, 0.302
    KABTEM,       Fe2, 2,       O4*, 2.303, 0.196
    KABTEM,       Fe2, 2,       O7B, 2.143, 0.302
    KABTEM,       Fe2, 2,       O6B, 2.195, 0.262
    KABTEM,       Fe2, 2,       O6C, 2.016, 0.426
    KABTEM,       Fe2, 2,        O5, 2.137, 0.307
    KABTEM,       Fe2, 2,       O2B, 2.126, 0.316
    JIXLEH,       Fe1, 2,       O2B, 2.134, 0.309
    JIXLEH,       Fe1, 2,        O2, 2.134, 0.309
    JIXLEH,       Fe1, 2,        O1, 1.883, 0.610
    JIXLEH,       Fe1, 2,       O1B, 1.883, 0.610
  ABISOV01,       Fe2, 2,       N12, 2.031, 0.493
  ABISOV01,       Fe2, 2,       N10, 2.120, 0.387
