    NEQRAC,       Fe1, 3,        N4, 1.979, 0.496,0,1.7194345035746008
    NEQRAC,       Fe1, 3,        N7, 2.050, 0.409,0,1.7194345035746008
    WOHTUI,       Fe2, 3,        N8, 1.925, 0.574,0,1.7194345035746008
    WOHTUI,       Fe2, 3,       N8A, 1.925, 0.574,0,1.7194345035746008
    WOHTUI,       Fe2, 3,       N7A, 1.939, 0.552,0,1.7194345035746008
    WOHTUI,       Fe2, 3,       N6A, 1.944, 0.545,0,1.7194345035746008
    WOHTUI,       Fe2, 3,        N6, 1.944, 0.545,0,1.7194345035746008
    WOHTUI,       Fe2, 3,        N7, 1.939, 0.552,0,1.7194345035746008
    WOHTUI,       Fe1, 3,       N3A, 1.902, 0.611,0,1.7194345035746008
    WOHTUI,       Fe1, 3,       N2A, 1.942, 0.548,0,1.7194345035746008
    WOHTUI,       Fe1, 3,       N1A, 1.954, 0.530,0,1.7194345035746008
    WOHTUI,       Fe1, 3,        N1, 1.954, 0.530,0,1.7194345035746008
    WOHTUI,       Fe1, 3,        N2, 1.942, 0.548,0,1.7194345035746008
    WOHTUI,       Fe1, 3,        N3, 1.902, 0.611,0,1.7194345035746008
    ALOGUD,       Fe1, 3,        N1, 1.991, 0.480,0,1.7194345035746008
    ALOGUD,       Fe1, 3,        N2, 1.929, 0.568,0,1.7194345035746008
    ALOGUD,       Fe1, 3,        N3, 1.962, 0.519,0,1.7194345035746008
    ALOGUD,       Fe1, 3,        N4, 1.977, 0.499,0,1.7194345035746008
    ALOGUD,       Fe1, 3,        N5, 1.969, 0.509,0,1.7194345035746008
    ALOGUD,       Fe1, 3,        N6, 1.930, 0.566,0,1.7194345035746008
    ELUJUQ,       Fe1, 3,       N12, 2.246, 0.241,0,1.7194345035746008
    ELUJUQ,       Fe1, 3,       N11, 2.039, 0.422,0,1.7194345035746008
    ELUJUQ,       Fe1, 3,        N8, 1.976, 0.500,0,1.7194345035746008
    ELUJUQ,       Fe1, 3,        N9, 2.214, 0.263,0,1.7194345035746008
    ELUJUQ,       Fe1, 3,        N3, 1.977, 0.499,0,1.7194345035746008
    ELUJUQ,       Fe1, 3,        N5, 2.205, 0.269,0,1.7194345035746008
    IBEWAP,       Fe1, 3,       N10, 1.971, 0.507,0,1.7194345035746008
    IBEWAP,       Fe1, 3,        N8, 1.922, 0.578,0,1.7194345035746008
    IBEWAP,       Fe1, 3,        N1, 1.991, 0.480,0,1.7194345035746008
    IBEWAP,       Fe1, 3,        N3, 1.928, 0.569,0,1.7194345035746008
    IBEWAP,       Fe1, 3,        N5, 1.985, 0.488,0,1.7194345035746008
    IBEWAP,       Fe1, 3,        N6, 1.983, 0.490,0,1.7194345035746008
    JUNPOX,       Fe1, 3,        N1, 1.997, 0.472,0,1.7194345035746008
    JUNPOX,       Fe1, 3,        N2, 1.889, 0.632,0,1.7194345035746008
    JUNPOX,       Fe1, 3,        N3, 1.884, 0.641,0,1.7194345035746008
    JUNPOX,       Fe1, 3,        N4, 2.002, 0.466,0,1.7194345035746008
    JUNPOX,       Fe1, 3,        N5, 1.975, 0.501,0,1.7194345035746008
    JUNPOX,       Fe1, 3,        N7, 1.976, 0.500,0,1.7194345035746008
    SICCEM,       Fe1, 3,       N1B, 2.014, 0.451,0,1.7194345035746008
    SICCEM,       Fe1, 3,       N10, 2.163, 0.302,0,1.7194345035746008
    SICCEM,       Fe1, 3,      N10B, 2.163, 0.302,0,1.7194345035746008
    SICCEM,       Fe1, 3,        N8, 2.224, 0.256,0,1.7194345035746008
    SICCEM,       Fe1, 3,        N1, 2.014, 0.451,0,1.7194345035746008
    SICCEM,       Fe1, 3,        N4, 2.032, 0.430,0,1.7194345035746008
