  CERDEJ01,       Fe1, 2,       N5A, 2.227, 0.185,0,1.6035209463714926
    GEPPEX,       Fe1, 2,        N1, 1.877, 0.478,0,1.6035209463714926
    GEPPEX,       Fe1, 2,        N2, 1.876, 0.479,0,1.6035209463714926
    GEPPEX,       Fe1, 2,        N3, 1.841, 0.526,0,1.6035209463714926
    GEPPEX,       Fe1, 2,        N4, 1.833, 0.538,0,1.6035209463714926
    CAYQOI,       Fe1, 2,       N3D, 1.960, 0.382,0,1.6035209463714926
    CAYQOI,       Fe1, 2,       N1D, 1.984, 0.358,0,1.6035209463714926
    CAYQOI,       Fe1, 2,        N1, 1.984, 0.358,0,1.6035209463714926
    CAYQOI,       Fe1, 2,       N5D, 1.975, 0.366,0,1.6035209463714926
    CAYQOI,       Fe1, 2,        N3, 1.960, 0.382,0,1.6035209463714926
    CAYQOI,       Fe1, 2,        N5, 1.975, 0.366,0,1.6035209463714926
    NUKCIF,       Fe1, 2,        N1, 1.982, 0.360,0,1.6035209463714926
    NUKCIF,       Fe1, 2,        N2, 1.974, 0.367,0,1.6035209463714926
    NUKCIF,       Fe1, 2,        N3, 1.985, 0.357,0,1.6035209463714926
    NUKCIF,       Fe1, 2,        N4, 1.970, 0.371,0,1.6035209463714926
    NUKCIF,       Fe1, 2,        N5, 1.976, 0.365,0,1.6035209463714926
    NUKCIF,       Fe1, 2,        N6, 1.981, 0.361,0,1.6035209463714926
    BERTAT,       Fe1, 2,       N3A, 2.021, 0.324,0,1.6035209463714926
    BERTAT,       Fe1, 2,       N2A, 1.885, 0.467,0,1.6035209463714926
    BERTAT,       Fe1, 2,       N1A, 1.887, 0.465,0,1.6035209463714926
    BERTAT,       Fe1, 2,        N1, 1.887, 0.465,0,1.6035209463714926
    BERTAT,       Fe1, 2,        N2, 1.885, 0.467,0,1.6035209463714926
    BERTAT,       Fe1, 2,        N3, 2.021, 0.324,0,1.6035209463714926
    EKABUO,       Fe1, 2,       N2B, 1.897, 0.452,0,1.6035209463714926
    EKABUO,       Fe1, 2,       N3B, 2.006, 0.337,0,1.6035209463714926
    EKABUO,       Fe1, 2,       N1B, 1.921, 0.424,0,1.6035209463714926
    EKABUO,       Fe1, 2,        N1, 1.921, 0.424,0,1.6035209463714926
    EKABUO,       Fe1, 2,        N2, 1.897, 0.452,0,1.6035209463714926
    EKABUO,       Fe1, 2,        N3, 2.006, 0.337,0,1.6035209463714926
    GEVYEL,       Fe2, 2,       N20, 2.165, 0.219,0,1.6035209463714926
    GEVYEL,       Fe2, 2,       N15, 2.163, 0.220,0,1.6035209463714926
    GEVYEL,       Fe2, 2,        N8, 2.211, 0.194,0,1.6035209463714926
    GEVYEL,       Fe2, 2,        N1, 2.243, 0.178,0,1.6035209463714926
    GEVYEL,       Fe2, 2,        N3, 2.212, 0.193,0,1.6035209463714926
    GEVYEL,       Fe2, 2,        N6, 2.216, 0.191,0,1.6035209463714926
    HTMZFE,       Fe1, 2,        N1, 1.916, 0.430,0,1.6035209463714926
    HTMZFE,       Fe1, 2,        N2, 1.916, 0.430,0,1.6035209463714926
    HTMZFE,       Fe1, 2,        N3, 1.917, 0.429,0,1.6035209463714926
    HTMZFE,       Fe1, 2,        N4, 1.922, 0.423,0,1.6035209463714926
    GEVYEL,       Fe1, 2,       N13, 2.207, 0.196,0,1.6035209463714926
    GEVYEL,       Fe1, 2,       N10, 2.145, 0.231,0,1.6035209463714926
    GEVYEL,       Fe1, 2,       N11, 2.354, 0.132,0,1.6035209463714926
    GEVYEL,       Fe1, 2,       N16, 2.302, 0.151,0,1.6035209463714926
    GEVYEL,       Fe1, 2,       N18, 2.228, 0.185,0,1.6035209463714926
    GEVYEL,       Fe1, 2,        N5, 2.166, 0.219,0,1.6035209463714926
    FEPHCY,       Fe1, 2,       N2B, 1.927, 0.417,0,1.6035209463714926
    FEPHCY,       Fe1, 2,        N2, 1.927, 0.417,0,1.6035209463714926
    FEPHCY,       Fe1, 2,       N4B, 1.926, 0.418,0,1.6035209463714926
    FEPHCY,       Fe1, 2,        N4, 1.926, 0.418,0,1.6035209463714926
    MOFREE,       Fe1, 2,       N3B, 2.174, 0.214,0,1.6035209463714926
    MOFREE,       Fe1, 2,       N1B, 2.157, 0.224,0,1.6035209463714926
    MOFREE,       Fe1, 2,        N1, 2.157, 0.224,0,1.6035209463714926
    MOFREE,       Fe1, 2,        N3, 2.174, 0.214,0,1.6035209463714926
    MOFREE,       Fe1, 2,       N5B, 2.171, 0.216,0,1.6035209463714926
    MOFREE,       Fe1, 2,        N5, 2.171, 0.216,0,1.6035209463714926
    BULLAW,       Fe1, 2,       N2B, 1.985, 0.357,0,1.6035209463714926
    BULLAW,       Fe1, 2,       N2A, 1.985, 0.357,0,1.6035209463714926
    BULLAW,       Fe1, 2,       N1B, 1.970, 0.371,0,1.6035209463714926
    BULLAW,       Fe1, 2,       N1A, 1.970, 0.371,0,1.6035209463714926
    BULLAW,       Fe1, 2,        N1, 1.970, 0.371,0,1.6035209463714926
    BULLAW,       Fe1, 2,        N2, 1.985, 0.357,0,1.6035209463714926
    WUJCEK,       Fe1, 2,       N10, 2.121, 0.247,0,1.6035209463714926
    WUJCEK,       Fe1, 2,       N11, 2.198, 0.201,0,1.6035209463714926
    WUJCEK,       Fe1, 2,        N9, 2.201, 0.199,0,1.6035209463714926
    WUJCEK,       Fe1, 2,        N4, 2.222, 0.188,0,1.6035209463714926
    WUJCEK,       Fe1, 2,        N5, 2.136, 0.237,0,1.6035209463714926
    WUJCEK,       Fe1, 2,        N6, 2.157, 0.224,0,1.6035209463714926
    UYEDUY,       Fe1, 2,       N10, 1.970, 0.371,0,1.6035209463714926
    UYEDUY,       Fe1, 2,        N8, 1.971, 0.370,0,1.6035209463714926
    UYEDUY,       Fe1, 2,        N9, 1.979, 0.362,0,1.6035209463714926
    UYEDUY,       Fe1, 2,        N5, 1.975, 0.366,0,1.6035209463714926
    UYEDUY,       Fe1, 2,        N6, 1.973, 0.368,0,1.6035209463714926
    UYEDUY,       Fe1, 2,        N7, 1.966, 0.375,0,1.6035209463714926
    MAMJUF,       Fe1, 2,        N1, 1.949, 0.393,0,1.6035209463714926
    MAMJUF,       Fe1, 2,        N2, 1.944, 0.398,0,1.6035209463714926
    MAMJUF,       Fe1, 2,        N3, 1.980, 0.361,0,1.6035209463714926
    MAMJUF,       Fe1, 2,        N4, 1.965, 0.376,0,1.6035209463714926
    MAMJUF,       Fe1, 2,        N5, 1.961, 0.381,0,1.6035209463714926
    MAMJUF,       Fe1, 2,        N6, 1.933, 0.410,0,1.6035209463714926
  QAHVIE10,       Fe2, 2,       N10, 2.112, 0.253,0,1.6035209463714926
  QAHVIE10,       Fe2, 2,      N10B, 2.112, 0.253,0,1.6035209463714926
  QAHVIE10,       Fe2, 2,        N8, 2.211, 0.194,0,1.6035209463714926
  QAHVIE10,       Fe2, 2,        N9, 2.148, 0.230,0,1.6035209463714926
  QAHVIE10,       Fe2, 2,       N8B, 2.211, 0.194,0,1.6035209463714926
  QAHVIE10,       Fe2, 2,       N9B, 2.148, 0.230,0,1.6035209463714926
  QIDLUL01,       Fe1, 2,        N8, 2.100, 0.261,0,1.6035209463714926
  QIDLUL01,       Fe1, 2,        N9, 2.217, 0.191,0,1.6035209463714926
  QIDLUL01,       Fe1, 2,        N1, 2.189, 0.205,0,1.6035209463714926
  QIDLUL01,       Fe1, 2,        N2, 2.099, 0.262,0,1.6035209463714926
  QIDLUL01,       Fe1, 2,        N3, 2.226, 0.186,0,1.6035209463714926
  QIDLUL01,       Fe1, 2,        N7, 2.185, 0.208,0,1.6035209463714926
  QIDLUL01,       Fe2, 2,       N13, 2.008, 0.335,0,1.6035209463714926
  QIDLUL01,       Fe2, 2,       N14, 1.921, 0.424,0,1.6035209463714926
  QIDLUL01,       Fe2, 2,       N15, 1.989, 0.353,0,1.6035209463714926
  QIDLUL01,       Fe2, 2,       N19, 1.998, 0.344,0,1.6035209463714926
  QIDLUL01,       Fe2, 2,       N21, 1.978, 0.363,0,1.6035209463714926
  QIDLUL01,       Fe2, 2,       N20, 1.910, 0.437,0,1.6035209463714926
