    RISSUI,       Fe1, 2,        N2, 2.002, 0.347,0,1.6102359194747378
    RISSUI,       Fe1, 2,        N3, 1.997, 0.352,0,1.6102359194747378
    RISSUI,       Fe1, 2,        N4, 1.963, 0.385,0,1.6102359194747378
    RISSUI,       Fe1, 2,        N5, 2.015, 0.335,0,1.6102359194747378
    RISSUI,       Fe1, 2,        N6, 1.971, 0.377,0,1.6102359194747378
    HAYBEQ,       Fe1, 2,        N8, 1.952, 0.397,0,1.6102359194747378
    HAYBEQ,       Fe1, 2,        N1, 1.945, 0.405,0,1.6102359194747378
    HAYBEQ,       Fe1, 2,        N3, 1.900, 0.457,0,1.6102359194747378
    HAYBEQ,       Fe1, 2,        N4, 1.936, 0.415,0,1.6102359194747378
    HAYBEQ,       Fe1, 2,        N6, 1.918, 0.435,0,1.6102359194747378
    HAYBEQ,       Fe1, 2,        N7, 1.941, 0.409,0,1.6102359194747378
    PDOFED,       Fe2, 2,       O24, 2.176, 0.304,0,1.7352693218182855
    PDOFED,       Fe2, 2,       O32, 2.060, 0.416,0,1.7352693218182855
    PDOFED,       Fe2, 2,       O44, 1.988, 0.505,0,1.7352693218182855
    PDOFED,       Fe2, 2,       O42, 2.064, 0.411,0,1.7352693218182855
    PDOFED,       Fe2, 2,       O34, 1.991, 0.501,0,1.7352693218182855
