    DUFNUO,       Fe3, 3,       O3B, 1.971, 0.549,0,1.7489501731195423
    DUFNUO,       Fe3, 3,        O2, 1.970, 0.550,0,1.7489501731195423
    DUFNUO,       Fe2, 3,       O5B, 2.012, 0.491,0,1.7489501731195423
    DUFNUO,       Fe2, 3,       O4B, 2.015, 0.487,0,1.7489501731195423
    DUFNUO,       Fe2, 3,       O1B, 1.969, 0.552,0,1.7489501731195423
    DUFNUO,       Fe2, 3,        O5, 2.012, 0.491,0,1.7489501731195423
    DUFNUO,       Fe2, 3,        O4, 2.015, 0.487,0,1.7489501731195423
    DUFNUO,       Fe2, 3,        O1, 1.969, 0.552,0,1.7489501731195423
    DUFNUO,       Fe1, 3,        O3, 1.960, 0.565,0,1.7489501731195423
    DUFNUO,       Fe1, 3,       O1B, 1.984, 0.530,0,1.7489501731195423
    DUFNUO,       Fe1, 3,       O3B, 1.960, 0.565,0,1.7489501731195423
    DUFNUO,       Fe1, 3,       O2B, 1.980, 0.536,0,1.7489501731195423
    DUFNUO,       Fe1, 3,        O2, 1.980, 0.536,0,1.7489501731195423
    DUFNUO,       Fe1, 3,        O1, 1.984, 0.530,0,1.7489501731195423
    WEMZET,       Fe1, 3,       O16, 1.994, 0.516,0,1.7489501731195423
    WEMZET,       Fe1, 3,       O14, 2.024, 0.476,0,1.7489501731195423
    WEMZET,       Fe1, 3,       O11, 2.026, 0.473,0,1.7489501731195423
    WEMZET,       Fe1, 3,       O22, 2.005, 0.501,0,1.7489501731195423
    WEMZET,       Fe1, 3,       O21, 2.087, 0.401,0,1.7489501731195423
    WEMZET,       Fe1, 3,        O2, 1.912, 0.644,0,1.7489501731195423
    WEMZET,       Fe2, 3,       O15, 2.038, 0.458,0,1.7489501731195423
    WEMZET,       Fe2, 3,       O13, 2.010, 0.494,0,1.7489501731195423
    WEMZET,       Fe2, 3,       O10, 1.975, 0.543,0,1.7489501731195423
    WEMZET,       Fe2, 3,       O20, 2.014, 0.489,0,1.7489501731195423
    WEMZET,       Fe2, 3,       O19, 2.084, 0.404,0,1.7489501731195423
    WEMZET,       Fe2, 3,        O2, 1.907, 0.652,0,1.7489501731195423
    WEMZET,       Fe3, 3,       O17, 1.965, 0.558,0,1.7489501731195423
    WEMZET,       Fe3, 3,       O18, 1.998, 0.510,0,1.7489501731195423
