    VAWSUH,       Fe5, 2,        O2, 2.091, 0.343,0,1.6955119165400609
    VAWSUH,       Fe5, 2,        O1, 2.142, 0.299,0,1.6955119165400609
    SUMKUH,       Fe2, 2,       O4B, 2.195, 0.259,0,1.6955119165400609
    SUMKUH,       Fe2, 2,       O1B, 2.165, 0.281,0,1.6955119165400609
    SUMKUH,       Fe2, 2,        O4, 2.195, 0.259,0,1.6955119165400609
    SUMKUH,       Fe2, 2,       O2B, 2.217, 0.244,0,1.6955119165400609
    SUMKUH,       Fe2, 2,        O2, 2.217, 0.244,0,1.6955119165400609
    SUMKUH,       Fe2, 2,        O1, 2.165, 0.281,0,1.6955119165400609
    JIXLEH,       Fe1, 2,       O2B, 2.134, 0.306,0,1.6955119165400609
    JIXLEH,       Fe1, 2,       O1B, 1.883, 0.602,0,1.6955119165400609
    JIXLEH,       Fe1, 2,        O1, 1.883, 0.602,0,1.6955119165400609
    JIXLEH,       Fe1, 2,        O2, 2.134, 0.306,0,1.6955119165400609
    DEZMIF,       Fe1, 2,       O1A, 2.092, 0.342,0,1.6955119165400609
